STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
SC,45,-0.174896680000458,-0.167352634602697,0.70276152730408,0.136227081504614,1.27270532706846,0.35881666881931,1.37891932346343,0.273329406434611,0.694461894272654,-0.517288464990206,-0.664563778278175,0.155695220067332,0.972688476307272,0.495411399324716,0.410256321304624,0.0663406371091134,0.473926322771717,0.13738510494872,-0.27929323462033,1.10588462444421,0.341043480386009,-1.16930734350456,-0.0221771488321208,-0.384093347146464
SD,46,-0.754199993696992,-0.271320051347801,-0.826052012481354,-0.0957706793216455,-0.36376281600562,-0.55959809184452,-0.289132665078393,-0.0116018088479583,-0.083812717044997,-0.489850851808574,3.04996945184068,-0.913786547572047,-0.982499464390307,0.029671137749941,2.07935300080266,1.82243628458535,1.77370637119528,0.793780118334678,-1.70537805396781,-0.237817195099916,-0.980332075302008,-1.11041365997512,1.19233314331101,0.771950777827682
TN,47,0.0534062022406188,-0.167352634602697,1.01411523095907,0.195061192724053,1.40312434860197,1.24561751421591,1.54748723447505,1.70013589660197,0.849861131859465,-0.225059194940388,-0.410506246046663,1.53961580139091,0.388209181770886,-0.0379819733516349,0.681099302534961,0.34866232359121,1.1170515890751,0.372732613544119,-0.65293740868397,0.292591417878028,0.708092245854902,-1.0778736404404,0.235137273814983,0.545886328993169
TX,48,3.06491679927564,-0.209171930723633,-1.05847628890715,-1.6484757879623,0.329524583912067,-0.0195837911395809,0.828945490394916,-0.578772511102211,-0.398590859729447,-0.681016684483652,-0.510057271350278,-0.234760418193648,1.18603768782048,-2.00478027509524,-0.799340166620385,-0.688314860917249,-0.822506590492639,-0.941264229946142,0.868969777991187,0.504754863069205,0.727668180013243,-1.0501259111597,-0.921383077098391,0.631874839037462
UT,49,-0.438834407938729,-0.254693977021943,-2.80045662159618,-3.62687327989449,-1.07169490115119,-0.4496009318627,0.275898362108358,-2.51455775460547,-0.913079566572736,-0.748977127424875,-0.45365311044149,-0.842330836921384,-1.0620805369664,-2.78846895258026,-0.145285363633607,-0.125516206100307,0.611819798130317,1.45340378503265,-0.494711868077583,-1.2986344210558,-1.92487089844196,0.394565766002521,0.0293455501670776,-0.830678589777859
VT,50,-0.789613935304517,-0.229791167005483,0.458733423362817,1.70587796447384,-1.39011222984259,-0.556425510147961,-0.978738843131326,-0.698465095310379,-0.0589233334919864,1.37283689825174,0.143733606529917,-1.25634516639209,-1.71901958257798,1.50121484592384,-0.374427982742319,0.612216864166281,-0.792014272161219,-1.44094186581096,0.529138370673407,-0.803586382276389,-0.936286223445743,-0.1432746971008,1.26401431003302,-0.157791859779364
VA,51,0.285225752600432,-0.131995000556003,-0.128186652677151,-0.0640691426398993,0.208801974789276,-0.651305120130891,-0.0283009302831067,-0.311029394692899,-0.653168721722882,-0.0045321085914256,-0.776999249173979,-0.558496531973154,-0.802971602703995,-0.489169440043789,-0.653260784677166,-0.658494339898081,-0.52551109988765,-0.320024056405384,0.571935199537559,-0.556062362886682,0.120814221104672,-0.176213110751762,-0.0403545858169714,-0.861267382586007
WA,53,0.160151922062321,-0.205614386435567,-0.658545635066516,-0.0893708244325088,-0.693354502421619,-1.06748352354838,-0.413225018642788,-1.23014820234703,-0.478455378954711,0.00618980067242597,-0.630030546018731,-1.00593468747734,-0.304275432415828,-0.620432377653578,-0.857272220774592,-0.758832402558698,-0.823178466366405,-0.354036598881242,0.73693849436467,-0.874307530673448,-0.437099902408047,0.526603271380845,-1.10189152330725,-1.62684210442783
WV,54,-0.630911057334811,-0.223111696097278,3.27409982431305,1.62043094586434,2.16436145445517,0.852463458918977,1.03825008461076,2.43738712781905,2.18675302481317,-0.359019318466339,0.492583047284044,2.20134538487142,0.309149920184407,1.96305545109135,0.934778108646534,0.296884933840897,1.24532582055438,0.371135325849791,-0.735779711935478,1.53021151482656,-0.0700511369391533,0.00120430205922713,-0.24556931367802,-0.219299215419618
WI,55,-0.083366850177994,-0.2028554745387,-0.337680444123433,0.357357291772774,-0.703355750329654,-0.426465661549426,-0.521163756201244,-0.168103529848555,-0.442793034867004,-0.129197925880643,0.0382756820686008,-0.473088722273592,-1.04622879748129,0.288964643384341,0.474142609252856,0.970420425582668,1.30899307222058,1.1938370541139,-1.05815762035551,-0.909668104871978,-0.965650124683252,-0.374010026877707,0.128327713801623,0.0813958709129114
WY,56,-0.795758764317861,-0.274877595635867,-0.302028632760758,-0.165827502058707,-0.83825619463252,-0.233280077420246,-0.905269889621476,0.279893805223789,1.48155759784285,-0.8956538832038,1.86587577554406,-0.842253401508209,-1.22122587107475,-0.00504938330714335,2.45251081691703,2.3588496659971,0.868586330296874,1.1126438709575,-1.81639509001941,-0.273177769298445,-1.51867026465639,-0.125571708097121,1.28793452176053,-0.851969808763796
