STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
OH,39,11689100,282.3,36519.0476597856,38.6763291096359,10.2543558452149,186.40609136005,40.9001728140659,19.1604985965104,63.0023851993962,346.185762804664,1.33457665688547,28.3511989802466,0.443694533092341,2506.20663695237,16623.4868381655,0.0674879655405463,0.0758768533077825,0.11601538535901,0.213228167181391,0.527538715983267,12.4,46.53,23.873599342,308332.899329152,0.05997263056885
OK,40,3956971,54.7,36945.9619491778,36.2997098713975,11.2100185920698,226.076569680699,42.6985643199135,18.2800376751272,77.0612362217445,214.406423499187,2.98207896898916,26.8892544322412,0.623702740903745,11868.2699468861,15234.4558501945,0.086378719227409,0.0932844132544818,0.142983344330802,0.233153912171709,0.444324751937783,12.4,46.72,22.875063845,287205.583390965,0.067962125488384
OR,41,4217737,39.9,33636.2603927177,38.5864122644524,8.28442031224758,133.249114530153,37.1567926507971,14.8143158606846,53.8964213440529,371.621084956222,1.39885440936692,15.7193300578011,0.524835488829705,7801.15023767485,16805.6234895632,0.0264843590294985,0.0302143673254164,0.068070150414784,0.174805920094117,0.700175104327273,9.8,46.1,27.620757552,269411.0808405,0.037358362783276
PA,42,12801989,283.9,37013.1078850326,39.9727962155249,9.10620854434976,176.963310189848,37.9299219649162,17.3481734270335,49.5853909492108,382.698344765021,1.26542836429558,24.7539659657574,0.411046723963189,100.781214544084,17807.28760195,0.0243785789848749,0.025228039877241,0.0669143087062487,0.154393874108156,0.72919739698261,10.5,47.06,25.577439571,285325.28308561,0.051685797777916
RI,44,1059361,1018.1,37104.3487536354,39.2713627443099,8.40522654081329,160.324082510888,27.6809059740948,13.9850954472394,47.2882125478216,488.69082399673,0.943965277181244,26.3366312333567,0.510548707055135,0,16798.3340900788,0.0178029576320065,0.0121191293619455,0.0464205497464981,0.146448398610106,0.776569290355224,9.8,47.48,24.984271633,300528.136392386,0.052880256391588
SC,45,5148714,153.9,37138.0892393712,37.8285714931983,11.3244850295832,176.676225298857,45.013582666208,16.6452882589764,63.7664648778443,279.972824281947,1.10707256219708,23.792348924411,0.615574528350688,13337.9713846992,16792.096045731,0.0699506255348423,0.0626124628402354,0.109739442703557,0.196249208054671,0.5614682314846,14.4,47.27,20.992402813,291950.777386103,0.05350747907644
SD,46,884659,10.7,31776.0854747422,37.3065974518565,8.65023181699822,151.030374402163,35.3773146003107,15.8585834367516,54.7745856443983,283.159952026713,6.3301226800383,17.181761560104,0.313927072238877,12561.450231106,15895.0510874812,0.127481504172794,0.129498537854699,0.153498746974823,0.221630050674893,0.368049620249158,10.6,44.57,21.167328506,324504.477376721,0.067006777605064
TN,47,6829174,153.9,38230.0992770136,37.9609429380459,11.5376107716237,201.439287947876,45.987392588785,20.5847497359622,65.5618866441852,313.917905737941,1.46430593216691,32.346518041567,0.525400745730065,9990.00757631889,15764.7469518276,0.0792861151290039,0.0733655158003003,0.13139134776768,0.205349396134877,0.510791205642146,12.1,48.02,21.263978692,298847.825992691,0.064366989541962
TX,48,28995881,96.3,30960.9044125957,33.8131509733956,9.7831753847183,166.10975556101,41.8364063425191,14.2926057461514,51.1377625960979,260.954305889171,1.3243260309973,21.3788986097715,0.648490160437421,6694.12321012078,11976.5700514497,0.0282579245652167,0.0338691854887941,0.0660928254257907,0.154541046881797,0.717206119034631,12.7,48.06,21.346394844,267848.486769107,0.065371090113941
UT,49,3205958,33.6,24851.2613078524,29.361935019558,7.49335646870319,154.101939543293,38.6414757181429,8.94783653809712,45.1935621151464,253.060083756556,1.40363660409775,17.6234373625606,0.301649261191893,4617.43416476448,10467.1365002286,0.0508020635329596,0.0553050298849829,0.114381860897741,0.247135735714566,0.53225119449475,7.6,42.64,25.637410071,293331.7903728,0.048292637031467
VT,50,623989,67.9,36282.2101030627,41.3601444358046,6.9730111336598,151.118965701686,31.3934879346766,13.9621304309504,55.0621478079959,499.528036551926,2.24362929474718,15.0643681218739,0.200296348868512,0,18729.3365748435,0.0429039133702677,0.0834037667330674,0.0671194011432894,0.135219999070496,0.671115088567266,9,44.66,24.039919303,326425.81736992,0.056150035073607
VA,51,8535519,202.6,34223.7068419624,37.3779230506881,9.58589514639248,148.469543637737,36.8841288566083,15.0318536400259,48.1964699504619,339.534127918876,0.948975686188502,19.377849196985,0.34162472812742,6890.72334090054,14895.7315893738,0.033293028461421,0.0350049878630696,0.0760916833528225,0.178562556418655,0.676919584268983,9.7,46.82,23.942085809,291463.549872239,0.047935447165763
WA,53,7614893,101.2,32363.5801579878,37.3209965482468,8.11162577692977,136.848161079868,34.6604381527607,12.4941352034481,50.2150393034866,340.77957497236,1.15563015790242,16.6121835198472,0.418563843804686,11795.7271362841,14642.9109378162,0.0262611067548815,0.0311833172179832,0.0660702055826655,0.177247392576626,0.699298833877246,8.8,45.68,26.029587139,263010.143412389,0.038995717710071
WV,54,1792147,77.1,46156.5373822571,41.167896349162,12.7815951317731,190.460838217509,43.0455504166501,22.6203255791161,81.0078105826013,298.35722181272,2.73415071419923,36.4367431912672,0.513203439965623,17739.0582357362,19618.8705502395,0.0880299852634856,0.0713934214101857,0.135709917769022,0.205287633771114,0.499555377990756,15.6,46.43,24.469050027,285962.980031322,0.05543180456877
WI,55,5822434,105,33488.9498103371,38.3260945257714,8.09528212278587,154.747969766587,34.0368804837236,15.4264768370041,50.6270680225982,325.053062001218,2.09534363120303,19.9057644964288,0.304094876158669,2891.505511269,16394.4666440186,0.0721526754961929,0.0970470043971301,0.137853383997139,0.2370990623509,0.455831550001254,8.7,44.6,23.354590503,295984.905525653,0.058943065643328
WY,56,578759,5.8,33613.9913159018,37.1489759181081,7.87483301225298,160.142491825865,31.817915072083,16.6634127883557,72.8602595471642,236.022247602197,4.66515423518252,17.6239159995784,0.277096232714886,3030.44963447653,15828.1771860135,0.14034360934344,0.149929421399926,0.123026342570915,0.23395956347979,0.352992478734672,10.5,43.47,24.092500623,327066.974057786,0.048044016312828
PR,72,3193694,1088.2,0,36.9187760335734,14.4094388907198,109.817441851448,27.2056615293851,NaN,NaN,396.030427461116,0,0,NaN,201673.516623697,20626.5847635998,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
US,0,328239523,87.4,34104.1435159531,37.9,10.5,200,42,14,52.92,343.271580978991,1.39501786931368,22.6325578714663,0.523508418383058,8024.0635738433,15694.7650694703,0.0421080330973585,0.0443039651544643,0.0815427300185183,0.175144916648472,0.647214952890494,11.5,48.22,24.7309462435038,12103.8719318688,0.0573636815787582
